Date,Open,High,Low,Close,Adj Close,Volume,RSI,Stochastic,MACD,MACD_Signal,EMA,ATR,ROC,OBV,AccDist,PSAR
2022-06-23,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,38.96103297969319,0.0,-0.00448834365965034,-0.0020616915779624505,9.863940347639277,0.008154185629039787,-0.30364101845852065,6718300.0,-5510238.587048103,9.8876480255661
2022-06-24,9.84000015258789,9.854000091552734,9.829999923706055,9.829999923706055,9.829999923706055,4300,30.37205185916592,0.0,-0.006621547355878832,-0.002973662733545727,9.860707926312303,0.009286041501728352,-0.5060747991468283,6714000.0,-5514538.587048103,9.886895072684172
2022-06-27,9.850000381469727,9.859999656677246,9.850000381469727,9.859999656677246,9.859999656677246,1200,48.65578395393918,49.99920527696098,-0.0058242604722504865,-0.0035437822812866794,9.860640472061345,0.010765590892404284,-0.20243378068830767,6715200.0,-5513338.587048103,9.884619266725048
2022-06-28,9.84000015258789,9.868000030517578,9.84000015258789,9.850000381469727,9.850000381469727,600,44.46464643497026,33.33386314869268,-0.005930895147246318,-0.004021204854478607,9.859627130100238,0.011996611395067372,-0.4044485385688927,6714600.0,-5513510.003941836,9.882434493004288
2022-06-29,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,9.850000381469727,0,44.46464643497026,33.33386314869268,-0.005946852284097304,-0.0044063343404023465,9.858710296897332,0.011139710581133987,-0.4044485385688927,6714600.0,-5513510.003941836,9.88033711023236
2022-06-30,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,9.829999923706055,3100,37.059441417425106,0.0,-0.007487062030195446,-0.005022479878360967,9.85597597564102,0.011772621094172406,-0.3042569372796623,6711500.0,-5513510.003941836,9.878323622771306
2022-07-01,9.835000038146973,9.84000015258789,9.835000038146973,9.84000015258789,9.84000015258789,600,42.2392066996223,20.000381468271378,-0.0078107173674180075,-0.005580127376172375,9.85445446868358,0.011646021650434088,-0.10152516238119977,6712100.0,-5512910.003941836,9.876390674808697
2022-07-05,9.864999771118164,9.864999771118164,9.864999771118164,9.864999771118164,9.864999771118164,23100,52.71547561202386,77.77730682829653,-0.0059810108985249855,-0.005660304080642897,9.85545878320116,0.012599849998994042,0.05071110157221824,6735200.0,-5512910.003941836,9.874535044764592
2022-07-06,9.859999656677246,9.864999771118164,9.859999656677246,9.859999656677246,9.859999656677246,2900,50.73349449863708,78.94644380866336,-0.004878190048970055,-0.005503881274308329,9.855891247341738,0.01205701174484575,0.0,6732300.0,-5515810.003941836,9.87275363992225
2022-07-07,9.880000114440918,9.880000114440918,9.869999885559082,9.880000114440918,9.880000114440918,32200,57.600491795351346,100.0,-0.0023630865982404714,-0.004875722339094757,9.858187329922613,0.012624400746190475,0.25368415389004306,6764500.0,-5483610.003941836,9.829999923706055
2022-07-08,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,9.880000114440918,100,57.600491795351346,100.0,-0.0003656341898548021,-0.003973704709246766,9.860264737971976,0.011722657835748298,0.20284440628887296,6764500.0,-5483610.003941836,9.830999927520752
2022-07-11,9.869999885559082,9.880000114440918,9.859999656677246,9.869999885559082,9.869999885559082,70600,53.292998178890194,79.99961853172863,0.0004057491160551763,-0.0030978139441863776,9.861191894885033,0.01231392925917141,0.20304064279001913,6693900.0,-5483610.003941836,9.831979931259156
2022-07-12,9.859999656677246,9.880000114440918,9.859999656677246,9.880000114440918,9.880000114440918,200,56.774177538044135,100.0,0.0018032243905619083,-0.0021176062772367207,9.862983153890356,0.012862967009492871,0.3045658051712189,6694100.0,-5483410.003941836,9.83294033492279
2022-07-13,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,100,62.753166330028876,100.0,0.00447296489605975,-0.0007994920425774266,9.86650853147511,0.013372719658054486,0.7121026995677517,6694200.0,-5483410.003941836,9.833881530513153
